feature,importance,importance_pct
bullish_engulfing,0.028278634,2.8278637
stoch_d_3,0.021152342,2.1152344
week_of_year,0.019424628,1.942463
atr_14,0.01767283,1.7672831
regime,0.016936565,1.6936567
roc_20,0.016871266,1.6871268
obv,0.016778242,1.6778244
parkinson_vol_10,0.016652051,1.6652054
volatility_200d,0.016277678,1.627768
momentum_5,0.016029624,1.6029626
macd_signal,0.015699666,1.5699668
adx_14,0.015674774,1.5674776
month_sin,0.015444099,1.5444101
hl_ratio,0.015434608,1.543461
rsi_14,0.015397107,1.5397109
stoch_k_14,0.015277565,1.5277567
bb_position_20,0.015220789,1.5220791
momentum_oscillator,0.0151555585,1.515556
pvt,0.015148299,1.5148301
price_acceleration,0.0150819775,1.5081979
