split_num,strategy,test_start,test_end,trades,win_rate,total_return,sharpe_ratio,max_drawdown,profit_factor
1,adaptive,2021-12-28 00:00:00,2022-03-28 00:00:00,2,1.0,0.11522748008328562,-32.932673696543276,0.01269719878744302,0.0
2,adaptive,2022-03-29 00:00:00,2022-06-28 00:00:00,3,1.0,0.21023457850231353,-12.270084044352801,0.11561753969114255,0.0
3,adaptive,2022-06-29 00:00:00,2022-09-27 00:00:00,6,0.6666666666666666,0.1187675007384678,-12.173907292616406,0.20072154858940938,1.6558057309130205
4,adaptive,2022-09-28 00:00:00,2022-12-27 00:00:00,4,0.75,0.04349706248960501,-9.870037963577811,0.18907032847080318,1.4036546676122466
5,adaptive,2022-12-28 00:00:00,2023-03-29 00:00:00,7,0.2857142857142857,-0.16219815682905392,-13.989758968731747,0.21773692078500972,0.41869098008010996
6,adaptive,2023-03-30 00:00:00,2023-06-29 00:00:00,6,0.16666666666666666,-0.19295520935427704,-19.734751259031995,0.20639342237736857,0.18976264759731165
7,adaptive,2023-06-30 00:00:00,2023-09-28 00:00:00,6,0.5,0.04056516356075008,-20.53604443829533,0.0948478220489199,1.403003960711824
8,adaptive,2023-09-29 00:00:00,2023-12-28 00:00:00,9,0.1111111111111111,-0.26406089217531187,-19.468434364812317,0.33260875111650473,0.18235046030385735
9,adaptive,2023-12-29 00:00:00,2024-04-01 00:00:00,7,0.0,-0.22156359551876448,-21.269354314791542,0.2589560633179693,0.0
10,adaptive,2024-04-02 00:00:00,2024-07-01 00:00:00,8,0.5,0.12943480943138638,-19.940784715763353,0.09231730847958085,2.315533462593853
11,adaptive,2024-07-02 00:00:00,2024-09-30 00:00:00,7,0.42857142857142855,0.10551215425080955,-14.29221586106952,0.1462030464934029,1.8164436718329928
12,adaptive,2024-10-01 00:00:00,2024-12-30 00:00:00,8,0.375,-0.10790052916099739,-18.07412261220038,0.1619061544525984,0.49942657970372556
13,adaptive,2024-12-31 00:00:00,2025-04-02 00:00:00,4,0.5,0.05363045640558994,-13.780962118937055,0.11199817183907179,1.5640764513926697
14,adaptive,2025-04-03 00:00:00,2025-07-03 00:00:00,6,0.16666666666666666,-0.34554915271235587,-8.956753750435928,0.49492550814483405,0.24680776366936272
15,adaptive,2025-07-07 00:00:00,2025-10-02 00:00:00,5,0.8,0.12868225528218316,-28.786487542164462,0.031009890869101022,5.908834017154656
