Split,Train Start,Train End,Test Start,Test End,Train Rows,Test Rows,Ratio
1,2020-01-02,2020-02-28,2020-03-02,2020-03-13,40,10,80.0%
2,2020-03-16,2020-05-11,2020-05-12,2020-05-26,40,10,80.0%
3,2020-05-27,2020-07-22,2020-07-23,2020-08-05,40,10,80.0%
4,2020-08-06,2020-10-01,2020-10-02,2020-10-15,40,10,80.0%
5,2020-10-16,2020-12-11,2020-12-14,2020-12-28,40,10,80.0%
6,2020-12-29,2021-02-25,2021-02-26,2021-03-11,40,10,80.0%
7,2021-03-12,2021-05-07,2021-05-10,2021-05-21,40,10,80.0%
8,2021-05-24,2021-07-20,2021-07-21,2021-08-03,40,10,80.0%
9,2021-08-04,2021-09-29,2021-09-30,2021-10-13,40,10,80.0%
10,2021-10-14,2021-12-09,2021-12-10,2021-12-23,40,10,80.0%
11,2021-12-27,2022-02-22,2022-02-23,2022-03-08,40,10,80.0%
12,2022-03-09,2022-05-04,2022-05-05,2022-05-18,40,10,80.0%
13,2022-05-19,2022-07-18,2022-07-19,2022-08-01,40,10,80.0%
14,2022-08-02,2022-09-27,2022-09-28,2022-10-11,40,10,80.0%
15,2022-10-12,2022-12-07,2022-12-08,2022-12-21,40,10,80.0%
16,2022-12-22,2023-02-21,2023-02-22,2023-03-07,40,10,80.0%
17,2023-03-08,2023-05-03,2023-05-04,2023-05-17,40,10,80.0%
18,2023-05-18,2023-07-17,2023-07-18,2023-07-31,40,10,80.0%
19,2023-08-01,2023-09-26,2023-09-27,2023-10-10,40,10,80.0%
20,2023-10-11,2023-12-06,2023-12-07,2023-12-20,40,10,80.0%
21,2023-12-21,2024-02-20,2024-02-21,2024-03-05,40,10,80.0%
22,2024-03-06,2024-05-01,2024-05-02,2024-05-15,40,10,80.0%
23,2024-05-16,2024-07-15,2024-07-16,2024-07-29,40,10,80.0%
24,2024-07-30,2024-09-24,2024-09-25,2024-10-08,40,10,80.0%
25,2024-10-09,2024-12-04,2024-12-05,2024-12-18,40,10,80.0%
26,2024-12-19,2025-02-19,2025-02-20,2025-03-05,40,10,80.0%
27,2025-03-06,2025-05-01,2025-05-02,2025-05-15,40,10,80.0%
28,2025-05-16,2025-07-15,2025-07-16,2025-07-29,40,10,80.0%
29,2025-07-30,2025-09-24,2025-09-25,2025-10-08,40,10,80.0%
30,2025-10-09,2025-12-04,2025-12-05,2025-12-18,40,10,80.0%
