Split,Train Start,Train End,Test Start,Test End,Train Rows,Test Rows,Ratio
1,2010-01-04,2010-03-02,2010-03-03,2010-03-16,40,10,80.0%
2,2010-03-17,2010-05-12,2010-05-13,2010-05-26,40,10,80.0%
3,2010-05-27,2010-07-23,2010-07-26,2010-08-06,40,10,80.0%
4,2010-08-09,2010-10-04,2010-10-05,2010-10-18,40,10,80.0%
5,2010-10-19,2010-12-14,2010-12-15,2010-12-29,40,10,80.0%
6,2010-12-30,2011-02-25,2011-02-28,2011-03-11,40,10,80.0%
7,2011-03-14,2011-05-09,2011-05-10,2011-05-23,40,10,80.0%
8,2011-05-24,2011-07-20,2011-07-21,2011-08-03,40,10,80.0%
9,2011-08-04,2011-09-29,2011-09-30,2011-10-13,40,10,80.0%
10,2011-10-14,2011-12-09,2011-12-12,2011-12-23,40,10,80.0%
11,2011-12-27,2012-02-23,2012-02-24,2012-03-08,40,10,80.0%
12,2012-03-09,2012-05-04,2012-05-07,2012-05-18,40,10,80.0%
13,2012-05-21,2012-07-17,2012-07-18,2012-07-31,40,10,80.0%
14,2012-08-01,2012-09-26,2012-09-27,2012-10-10,40,10,80.0%
15,2012-10-11,2012-12-10,2012-12-11,2012-12-24,40,10,80.0%
16,2012-12-26,2013-02-22,2013-02-25,2013-03-08,40,10,80.0%
17,2013-03-11,2013-05-06,2013-05-07,2013-05-20,40,10,80.0%
18,2013-05-21,2013-07-17,2013-07-18,2013-07-31,40,10,80.0%
19,2013-08-01,2013-09-26,2013-09-27,2013-10-10,40,10,80.0%
20,2013-10-11,2013-12-06,2013-12-09,2013-12-20,40,10,80.0%
21,2013-12-23,2014-02-20,2014-02-21,2014-03-06,40,10,80.0%
22,2014-03-07,2014-05-02,2014-05-05,2014-05-16,40,10,80.0%
23,2014-05-19,2014-07-15,2014-07-16,2014-07-29,40,10,80.0%
24,2014-07-30,2014-09-24,2014-09-25,2014-10-08,40,10,80.0%
25,2014-10-09,2014-12-04,2014-12-05,2014-12-18,40,10,80.0%
26,2014-12-19,2015-02-18,2015-02-19,2015-03-04,40,10,80.0%
27,2015-03-05,2015-04-30,2015-05-01,2015-05-14,40,10,80.0%
28,2015-05-15,2015-07-13,2015-07-14,2015-07-27,40,10,80.0%
29,2015-07-28,2015-09-22,2015-09-23,2015-10-06,40,10,80.0%
30,2015-10-07,2015-12-02,2015-12-03,2015-12-16,40,10,80.0%
31,2015-12-17,2016-02-16,2016-02-17,2016-03-01,40,10,80.0%
32,2016-03-02,2016-04-27,2016-04-28,2016-05-11,40,10,80.0%
33,2016-05-12,2016-07-08,2016-07-11,2016-07-22,40,10,80.0%
34,2016-07-25,2016-09-19,2016-09-20,2016-10-03,40,10,80.0%
35,2016-10-04,2016-11-29,2016-11-30,2016-12-13,40,10,80.0%
36,2016-12-14,2017-02-10,2017-02-13,2017-02-27,40,10,80.0%
37,2017-02-28,2017-04-25,2017-04-26,2017-05-09,40,10,80.0%
38,2017-05-10,2017-07-06,2017-07-07,2017-07-20,40,10,80.0%
39,2017-07-21,2017-09-15,2017-09-18,2017-09-29,40,10,80.0%
40,2017-10-02,2017-11-27,2017-11-28,2017-12-11,40,10,80.0%
41,2017-12-12,2018-02-08,2018-02-09,2018-02-23,40,10,80.0%
42,2018-02-26,2018-04-23,2018-04-24,2018-05-07,40,10,80.0%
43,2018-05-08,2018-07-03,2018-07-05,2018-07-18,40,10,80.0%
44,2018-07-19,2018-09-13,2018-09-14,2018-09-27,40,10,80.0%
45,2018-09-28,2018-11-23,2018-11-26,2018-12-10,40,10,80.0%
46,2018-12-11,2019-02-07,2019-02-08,2019-02-22,40,10,80.0%
47,2019-02-25,2019-04-22,2019-04-23,2019-05-06,40,10,80.0%
48,2019-05-07,2019-07-02,2019-07-03,2019-07-17,40,10,80.0%
49,2019-07-18,2019-09-12,2019-09-13,2019-09-26,40,10,80.0%
50,2019-09-27,2019-11-21,2019-11-22,2019-12-06,40,10,80.0%
